compression,webp (normal),webp (albedo),webp (R/M),jpg (normal),jpg (albedo),jpg (R/M),png (normal),png (albedo),png (R/M)
10%,150018,140870,277340,207203,263362,333209,11429537,9411405,12163169
20%,181734,160596,393880,312836,366885,620138,11235232,9126932,11906292
30%,212196,184058,525906,401195,468479,876741,10929697,8785253,11210630
40%,245204,209682,667228,488628,566177,1098221,9536184,8282322,10644318
50%,280152,234484,812562,577482,662813,1312431,9489948,8136019,10347759
60%,313436,264420,978946,689019,764762,1538161,9434110,7930892,10030080
70%,357428,299246,1173498,861443,922532,1874013,9404212,7820463,9888196
80%,497110,426558,1638158,1141577,1177329,2415012,9354765,7675957,9725116
90%,1124410,837728,2950980,2734001,1912247,5530591,9342808,7640064,9695240
100%,7779118,4927282,6594118,11310648,6520416,18808980,9342808,7640064,9695240
